Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Number of offences
2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,2
2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,12
2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,35
2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,9
2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,28
2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,4
2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,5
2008,1,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,1,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,67
2008,1,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,11
2008,1,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,62
2008,1,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,9
2008,1,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,28
2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,40
2008,1,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,340
2008,1,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,2
2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,1
2008,1,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,295
2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,15
2008,2,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,52
2008,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,38
2008,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,5
2008,2,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,76
2008,2,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,2,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,100
2008,2,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,30
2008,2,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,38
2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,56
2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,2,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,333
2008,2,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,3
2008,2,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,8
2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,321
2008,3,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2008,3,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,7
2008,3,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,12
2008,3,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,47
2008,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,43
2008,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,5
2008,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,17
2008,3,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,3,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,69
2008,3,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,3,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,87
2008,3,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,11
2008,3,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,23
2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,95
2008,3,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,3,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,392
2008,3,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,8
2008,3,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,12
2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,331
2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2008,4,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,23
2008,4,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,39
2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,44
2008,4,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,4,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,4,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,4
2008,4,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,73
2008,4,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,13
2008,4,Homicide and related Offences,Manslaughter,No alcohol involved,Non-DV,Darwin,1
2008,4,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,88
2008,4,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,18
2008,4,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,27
2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,61
2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,4,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,307
2008,4,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,2
2008,4,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,2
2008,4,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,360
2008,5,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,2
2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,8
2008,5,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,20
2008,5,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,47
2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,32
2008,5,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,7
2008,5,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,5,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2008,5,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,55
2008,5,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,6
2008,5,Homicide and related Offences,Manslaughter,No alcohol involved,Non-DV,Darwin,1
2008,5,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,5,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,32
2008,5,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,2
2008,5,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,43
2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,61
2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,3
2008,5,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,316
2008,5,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,4
2008,5,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,1
2008,5,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,284
2008,6,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,No alcohol involved,Non-DV,Darwin,1
2008,6,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,7
2008,6,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,19
2008,6,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,45
2008,6,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,4
2008,6,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,23
2008,6,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,2
2008,6,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,11
2008,6,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,69
2008,6,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,8
2008,6,Homicide and related Offences,Attempted Murder,No alcohol involved,Non-DV,Darwin,1
2008,6,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,42
2008,6,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,4
2008,6,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,45
2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,81
2008,6,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,1
2008,6,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,363
2008,6,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,4
2008,6,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,7
2008,6,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,311
2008,7,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2008,7,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,5
2008,7,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,21
2008,7,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,47
2008,7,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,5
2008,7,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,41
2008,7,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,7,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,10
2008,7,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,3
2008,7,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,54
2008,7,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,12
2008,7,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,7,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,27
2008,7,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,6
2008,7,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,29
2008,7,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,55
2008,7,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,1
2008,7,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,319
2008,7,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,6
2008,7,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,5
2008,7,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,257
2008,8,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,7
2008,8,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,16
2008,8,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,45
2008,8,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,5
2008,8,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,42
2008,8,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,8,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,20
2008,8,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,42
2008,8,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,7
2008,8,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,8,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,41
2008,8,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,3
2008,8,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,20
2008,8,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,59
2008,8,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,8,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,284
2008,8,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,5
2008,8,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,8
2008,8,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,321
2008,9,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,No alcohol involved,Non-DV,Darwin,1
2008,9,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2008,9,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,16
2008,9,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,38
2008,9,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,6
2008,9,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,30
2008,9,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,4
2008,9,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,9
2008,9,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,48
2008,9,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,9
2008,9,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,9,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,35
2008,9,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,6
2008,9,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,45
2008,9,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,73
2008,9,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,1
2008,9,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,283
2008,9,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,5
2008,9,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,10
2008,9,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,279
2008,10,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2008,10,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,20
2008,10,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,58
2008,10,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
2008,10,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,49
2008,10,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,3
2008,10,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,14
2008,10,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,60
2008,10,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,8
2008,10,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,64
2008,10,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,11
2008,10,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,57
2008,10,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,64
2008,10,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2008,10,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,369
2008,10,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,4
2008,10,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,4
2008,10,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,324
2008,11,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,No alcohol involved,Non-DV,Darwin,1
2008,11,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,3
2008,11,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,9
2008,11,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,22
2008,11,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,49
2008,11,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
2008,11,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,52
2008,11,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,2
2008,11,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,11,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,43
2008,11,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,16
2008,11,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2008,11,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,50
2008,11,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,20
2008,11,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,51
2008,11,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,86
2008,11,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,3
2008,11,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,308
2008,11,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,8
2008,11,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,5
2008,11,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,343
2008,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2008,12,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,5
2008,12,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,32
2008,12,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,54
2008,12,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,6
2008,12,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,35
2008,12,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,6
2008,12,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,13
2008,12,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,33
2008,12,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,20
2008,12,Homicide and related Offences,Attempted Murder,No alcohol involved,Non-DV,Darwin,1
2008,12,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,48
2008,12,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,15
2008,12,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,48
2008,12,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,53
2008,12,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,1
2008,12,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,260
2008,12,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,6
2008,12,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,1
2008,12,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,2
2008,12,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,249
2009,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,No alcohol involved,Non-DV,Darwin,1
2009,1,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,17
2009,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,32
2009,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,60
2009,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
2009,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,29
2009,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,12
2009,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,15
2009,1,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,49
2009,1,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,23
2009,1,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2009,1,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,76
2009,1,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,15
2009,1,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,25
2009,1,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,80
2009,1,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,3
2009,1,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,335
2009,1,Robbery - extortion and related offences,Blackmail and extortion,No alcohol involved,Non-DV,Darwin,1
2009,1,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,2
2009,1,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,5
2009,1,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,291
2009,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2009,2,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2009,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,18
2009,2,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,38
2009,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,4
2009,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,31
2009,2,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,5
2009,2,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,15
2009,2,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,1
2009,2,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,36
2009,2,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,8
2009,2,Homicide and related Offences,Murder,No alcohol involved,Non-DV,Darwin,1
2009,2,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,47
2009,2,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,9
2009,2,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,26
2009,2,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,49
2009,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,No alcohol involved,Non-DV,Darwin,2
2009,2,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,235
2009,2,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,5
2009,2,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,5
2009,2,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,3
2009,2,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,279
2009,3,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,No alcohol involved,Non-DV,Darwin,1
2009,3,Abduction - harassment and other offences against the person,Harassment and private nuisance,No alcohol involved,Non-DV,Darwin,1
2009,3,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,6
2009,3,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,22
2009,3,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,50
2009,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,12
2009,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,42
2009,3,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,11
2009,3,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,18
2009,3,Acts intended to cause injury,Other acts intended to cause injury,No alcohol involved,Non-DV,Darwin,2
2009,3,Commercial break-ins,Commercial break-ins actual,No alcohol involved,Non-DV,Darwin,43
2009,3,Commercial break-ins,Commercial break-ins attempted,No alcohol involved,Non-DV,Darwin,6
2009,3,House break-ins,House break-ins actual,No alcohol involved,Non-DV,Darwin,58
2009,3,House break-ins,House break-ins attempted,No alcohol involved,Non-DV,Darwin,8
2009,3,Motor theft and related offences,Illegal use of a motor vehicle,No alcohol involved,Non-DV,Darwin,27
2009,3,Motor theft and related offences,Theft of motor vehicle parts or contents,No alcohol involved,Non-DV,Darwin,69
2009,3,Property Damage Offences,Property damage offences,No alcohol involved,Non-DV,Darwin,310
2009,3,Robbery - extortion and related offences,Robbery,No alcohol involved,Non-DV,Darwin,4
2009,3,Sexual Assault and related offences,Non-assaultive sexual offences,No alcohol involved,Non-DV,Darwin,3
2009,3,Sexual Assault and related offences,Sexual assault,No alcohol involved,Non-DV,Darwin,13
2009,3,Theft and related offences (other than MV),Theft and related offences (other than MV),No alcohol involved,Non-DV,Darwin,283
2009,4,Abduction - harassment and other offences against the person,Threatening behaviour,No alcohol involved,Non-DV,Darwin,5
2009,4,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,19
2009,4,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,38
2009,4,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,8
