Year,Sex,Age Group,Aboriginal status,Region,Population
1987,Male,50-,Non-Aboriginal,Greater Darwin,1630
1987,Male,55-,Non-Aboriginal,Greater Darwin,1218
1987,Male,60-,Non-Aboriginal,Greater Darwin,836
1987,Male,65-,Non-Aboriginal,Greater Darwin,483
1987,Male,70-,Non-Aboriginal,Greater Darwin,320
1987,Male,75-,Non-Aboriginal,Greater Darwin,159
1987,Male,80-,Non-Aboriginal,Greater Darwin,71
1987,Male,85+,Non-Aboriginal,Greater Darwin,29
1987,Female,0-,Aboriginal,Greater Darwin,408
1987,Female,5-,Aboriginal,Greater Darwin,356
1987,Female,10-,Aboriginal,Greater Darwin,423
1987,Female,15-,Aboriginal,Greater Darwin,397
1987,Female,20-,Aboriginal,Greater Darwin,318
1987,Female,25-,Aboriginal,Greater Darwin,258
1987,Female,30-,Aboriginal,Greater Darwin,241
1987,Female,35-,Aboriginal,Greater Darwin,216
1987,Female,40-,Aboriginal,Greater Darwin,143
1987,Female,45-,Aboriginal,Greater Darwin,100
1987,Female,50-,Aboriginal,Greater Darwin,48
1987,Female,55-,Aboriginal,Greater Darwin,28
1987,Female,60-,Aboriginal,Greater Darwin,26
1987,Female,65-,Aboriginal,Greater Darwin,21
1987,Female,70-,Aboriginal,Greater Darwin,13
1987,Female,75-,Aboriginal,Greater Darwin,9
1987,Female,80-,Aboriginal,Greater Darwin,5
1987,Female,85+,Aboriginal,Greater Darwin,2
1987,Female,0-,Non-Aboriginal,Greater Darwin,3573
1987,Female,5-,Non-Aboriginal,Greater Darwin,3252
1987,Female,10-,Non-Aboriginal,Greater Darwin,3279
1987,Female,15-,Non-Aboriginal,Greater Darwin,3454
1987,Female,20-,Non-Aboriginal,Greater Darwin,3879
1987,Female,25-,Non-Aboriginal,Greater Darwin,4358
1987,Female,30-,Non-Aboriginal,Greater Darwin,4118
1987,Female,35-,Non-Aboriginal,Greater Darwin,3692
1987,Female,40-,Non-Aboriginal,Greater Darwin,2817
1987,Female,45-,Non-Aboriginal,Greater Darwin,1769
1987,Female,50-,Non-Aboriginal,Greater Darwin,1166
1987,Female,55-,Non-Aboriginal,Greater Darwin,854
1987,Female,60-,Non-Aboriginal,Greater Darwin,675
1987,Female,65-,Non-Aboriginal,Greater Darwin,447
1987,Female,70-,Non-Aboriginal,Greater Darwin,308
1987,Female,75-,Non-Aboriginal,Greater Darwin,169
1987,Female,80-,Non-Aboriginal,Greater Darwin,88
1987,Female,85+,Non-Aboriginal,Greater Darwin,81
1988,Male,0-,Aboriginal,Greater Darwin,452
1988,Male,5-,Aboriginal,Greater Darwin,439
1988,Male,10-,Aboriginal,Greater Darwin,524
1988,Male,15-,Aboriginal,Greater Darwin,422
1988,Male,20-,Aboriginal,Greater Darwin,282
1988,Male,25-,Aboriginal,Greater Darwin,301
1988,Male,30-,Aboriginal,Greater Darwin,209
1988,Male,35-,Aboriginal,Greater Darwin,203
1988,Male,40-,Aboriginal,Greater Darwin,174
1988,Male,45-,Aboriginal,Greater Darwin,118
1988,Male,50-,Aboriginal,Greater Darwin,52
1988,Male,55-,Aboriginal,Greater Darwin,34
1988,Male,60-,Aboriginal,Greater Darwin,29
1988,Male,65-,Aboriginal,Greater Darwin,13
1988,Male,70-,Aboriginal,Greater Darwin,9
1988,Male,75-,Aboriginal,Greater Darwin,4
1988,Male,80-,Aboriginal,Greater Darwin,1
1988,Male,85+,Aboriginal,Greater Darwin,1
1988,Male,0-,Non-Aboriginal,Greater Darwin,3639
1988,Male,5-,Non-Aboriginal,Greater Darwin,3379
1988,Male,10-,Non-Aboriginal,Greater Darwin,3414
1988,Male,15-,Non-Aboriginal,Greater Darwin,3323
1988,Male,20-,Non-Aboriginal,Greater Darwin,4081
1988,Male,25-,Non-Aboriginal,Greater Darwin,4575
1988,Male,30-,Non-Aboriginal,Greater Darwin,4254
1988,Male,35-,Non-Aboriginal,Greater Darwin,4238
1988,Male,40-,Non-Aboriginal,Greater Darwin,3707
1988,Male,45-,Non-Aboriginal,Greater Darwin,2559
1988,Male,50-,Non-Aboriginal,Greater Darwin,1717
1988,Male,55-,Non-Aboriginal,Greater Darwin,1196
1988,Male,60-,Non-Aboriginal,Greater Darwin,851
1988,Male,65-,Non-Aboriginal,Greater Darwin,484
1988,Male,70-,Non-Aboriginal,Greater Darwin,307
1988,Male,75-,Non-Aboriginal,Greater Darwin,159
1988,Male,80-,Non-Aboriginal,Greater Darwin,74
1988,Male,85+,Non-Aboriginal,Greater Darwin,30
1988,Female,0-,Aboriginal,Greater Darwin,425
1988,Female,5-,Aboriginal,Greater Darwin,372
1988,Female,10-,Aboriginal,Greater Darwin,435
1988,Female,15-,Aboriginal,Greater Darwin,413
1988,Female,20-,Aboriginal,Greater Darwin,320
1988,Female,25-,Aboriginal,Greater Darwin,272
1988,Female,30-,Aboriginal,Greater Darwin,267
1988,Female,35-,Aboriginal,Greater Darwin,224
1988,Female,40-,Aboriginal,Greater Darwin,161
1988,Female,45-,Aboriginal,Greater Darwin,107
1988,Female,50-,Aboriginal,Greater Darwin,53
1988,Female,55-,Aboriginal,Greater Darwin,32
1988,Female,60-,Aboriginal,Greater Darwin,30
1988,Female,65-,Aboriginal,Greater Darwin,24
1988,Female,70-,Aboriginal,Greater Darwin,16
1988,Female,75-,Aboriginal,Greater Darwin,11
1988,Female,80-,Aboriginal,Greater Darwin,5
1988,Female,85+,Aboriginal,Greater Darwin,2
1988,Female,0-,Non-Aboriginal,Greater Darwin,3498
1988,Female,5-,Non-Aboriginal,Greater Darwin,3213
1988,Female,10-,Non-Aboriginal,Greater Darwin,3151
1988,Female,15-,Non-Aboriginal,Greater Darwin,3430
1988,Female,20-,Non-Aboriginal,Greater Darwin,3676
1988,Female,25-,Non-Aboriginal,Greater Darwin,4303
1988,Female,30-,Non-Aboriginal,Greater Darwin,4136
1988,Female,35-,Non-Aboriginal,Greater Darwin,3603
1988,Female,40-,Non-Aboriginal,Greater Darwin,3009
1988,Female,45-,Non-Aboriginal,Greater Darwin,1849
1988,Female,50-,Non-Aboriginal,Greater Darwin,1208
1988,Female,55-,Non-Aboriginal,Greater Darwin,847
1988,Female,60-,Non-Aboriginal,Greater Darwin,660
1988,Female,65-,Non-Aboriginal,Greater Darwin,453
1988,Female,70-,Non-Aboriginal,Greater Darwin,310
1988,Female,75-,Non-Aboriginal,Greater Darwin,186
1988,Female,80-,Non-Aboriginal,Greater Darwin,80
1988,Female,85+,Non-Aboriginal,Greater Darwin,80
1989,Male,0-,Aboriginal,Greater Darwin,482
1989,Male,5-,Aboriginal,Greater Darwin,457
1989,Male,10-,Aboriginal,Greater Darwin,535
1989,Male,15-,Aboriginal,Greater Darwin,442
1989,Male,20-,Aboriginal,Greater Darwin,297
1989,Male,25-,Aboriginal,Greater Darwin,327
1989,Male,30-,Aboriginal,Greater Darwin,237
1989,Male,35-,Aboriginal,Greater Darwin,222
1989,Male,40-,Aboriginal,Greater Darwin,194
1989,Male,45-,Aboriginal,Greater Darwin,127
1989,Male,50-,Aboriginal,Greater Darwin,56
1989,Male,55-,Aboriginal,Greater Darwin,35
1989,Male,60-,Aboriginal,Greater Darwin,30
1989,Male,65-,Aboriginal,Greater Darwin,15
1989,Male,70-,Aboriginal,Greater Darwin,10
1989,Male,75-,Aboriginal,Greater Darwin,3
1989,Male,80-,Aboriginal,Greater Darwin,1
1989,Male,85+,Aboriginal,Greater Darwin,1
1989,Male,0-,Non-Aboriginal,Greater Darwin,3603
1989,Male,5-,Non-Aboriginal,Greater Darwin,3296
1989,Male,10-,Non-Aboriginal,Greater Darwin,3304
1989,Male,15-,Non-Aboriginal,Greater Darwin,3317
1989,Male,20-,Non-Aboriginal,Greater Darwin,3944
1989,Male,25-,Non-Aboriginal,Greater Darwin,4504
1989,Male,30-,Non-Aboriginal,Greater Darwin,4180
1989,Male,35-,Non-Aboriginal,Greater Darwin,4126
1989,Male,40-,Non-Aboriginal,Greater Darwin,3807
1989,Male,45-,Non-Aboriginal,Greater Darwin,2682
1989,Male,50-,Non-Aboriginal,Greater Darwin,1794
1989,Male,55-,Non-Aboriginal,Greater Darwin,1200
1989,Male,60-,Non-Aboriginal,Greater Darwin,851
1989,Male,65-,Non-Aboriginal,Greater Darwin,509
1989,Male,70-,Non-Aboriginal,Greater Darwin,301
1989,Male,75-,Non-Aboriginal,Greater Darwin,164
1989,Male,80-,Non-Aboriginal,Greater Darwin,73
1989,Male,85+,Non-Aboriginal,Greater Darwin,29
1989,Female,0-,Aboriginal,Greater Darwin,444
1989,Female,5-,Aboriginal,Greater Darwin,394
1989,Female,10-,Aboriginal,Greater Darwin,447
1989,Female,15-,Aboriginal,Greater Darwin,430
1989,Female,20-,Aboriginal,Greater Darwin,337
1989,Female,25-,Aboriginal,Greater Darwin,288
1989,Female,30-,Aboriginal,Greater Darwin,289
1989,Female,35-,Aboriginal,Greater Darwin,236
1989,Female,40-,Aboriginal,Greater Darwin,179
1989,Female,45-,Aboriginal,Greater Darwin,115
1989,Female,50-,Aboriginal,Greater Darwin,59
1989,Female,55-,Aboriginal,Greater Darwin,36
1989,Female,60-,Aboriginal,Greater Darwin,32
1989,Female,65-,Aboriginal,Greater Darwin,28
1989,Female,70-,Aboriginal,Greater Darwin,18
1989,Female,75-,Aboriginal,Greater Darwin,13
1989,Female,80-,Aboriginal,Greater Darwin,6
1989,Female,85+,Aboriginal,Greater Darwin,2
1989,Female,0-,Non-Aboriginal,Greater Darwin,3437
1989,Female,5-,Non-Aboriginal,Greater Darwin,3221
1989,Female,10-,Non-Aboriginal,Greater Darwin,3037
1989,Female,15-,Non-Aboriginal,Greater Darwin,3402
1989,Female,20-,Non-Aboriginal,Greater Darwin,3650
1989,Female,25-,Non-Aboriginal,Greater Darwin,4325
1989,Female,30-,Non-Aboriginal,Greater Darwin,4085
1989,Female,35-,Non-Aboriginal,Greater Darwin,3594
